part of corpus:
id:0 LV:0.5404814004376368 LD:0.387308533916849
id:1 LV:0.500945179584121 LD:0.34215500945179583
id:2 LV:0.49901768172888017 LD:0.3300589390962672
id:3 LV:0.5731292517006803 LD:0.3469387755102041
id:4 LV:0.5769230769230769 LD:0.31196581196581197
id:5 LV:0.5529411764705883 LD:0.36941176470588233
id:6 LV:0.5831533477321814 LD:0.3714902807775378
id:7 LV:0.505091649694501 LD:0.32382892057026474
id:8 LV:0.5883668903803132 LD:0.3691275167785235
id:9 LV:0.5577395577395577 LD:0.35872235872235875
id:10 LV:0.5059101654846335 LD:0.408983451536643
id:11 LV:0.565121412803532 LD:0.34216335540838855
id:12 LV:0.5400410677618069 LD:0.3490759753593429
id:13 LV:0.6004901960784313 LD:0.3333333333333333
id:14 LV:0.549718574108818 LD:0.40150093808630394
id:15 LV:0.6080402010050251 LD:0.35678391959798994
id:16 LV:0.617948717948718 LD:0.3769230769230769
id:17 LV:0.5488069414316703 LD:0.34490238611713664
id:18 LV:0.5331991951710262 LD:0.32595573440643866
id:19 LV:0.4989648033126294 LD:0.3416149068322981
id:20 LV:0.5271629778672032 LD:0.3963782696177062
id:21 LV:0.5676959619952494 LD:0.35391923990498814
id:22 LV:0.5253456221198156 LD:0.3433179723502304
id:23 LV:0.5429616087751371 LD:0.34186471663619744
id:24 LV:0.5367521367521367 LD:0.3282051282051282
id:25 LV:0.5258620689655172 LD:0.3103448275862069
id:26 LV:0.5643564356435643 LD:0.35148514851485146
id:27 LV:0.5609137055837563 LD:0.32741116751269034
id:28 LV:0.48625429553264604 LD:0.3470790378006873
id:29 LV:0.5435139573070608 LD:0.3530377668308703
id:30 LV:0.5603271983640081 LD:0.35991820040899797
id:31 LV:0.5835140997830802 LD:0.3752711496746204
id:32 LV:0.5851851851851851 LD:0.39814814814814814
id:33 LV:0.5277777777777778 LD:0.42407407407407405
id:34 LV:0.5315315315315315 LD:0.3333333333333333
id:35 LV:0.49452554744525545 LD:0.32299270072992703
id:36 LV:0.4876441515650741 LD:0.3245469522240527
id:37 LV:0.48797736916548795 LD:0.3465346534653465
id:38 LV:0.5284974093264249 LD:0.37132987910189985
id:39 LV:0.5769230769230769 LD:0.3996655518394649
id:40 LV:0.5595238095238095 LD:0.3492063492063492
id:41 LV:0.524731182795699 LD:0.33978494623655914
id:42 LV:0.5687203791469194 LD:0.3222748815165877
id:43 LV:0.4968814968814969 LD:0.3284823284823285
id:44 LV:0.5862068965517241 LD:0.37192118226600984
id:45 LV:0.5375854214123007 LD:0.33029612756264237
id:46 LV:0.5650929899856938 LD:0.3648068669527897
id:47 LV:0.5174825174825175 LD:0.3706293706293706
id:48 LV:0.5178571428571429 LD:0.35535714285714287
id:49 LV:0.4943977591036415 LD:0.32492997198879553
id:50 LV:0.5128205128205128 LD:0.3136094674556213
id:51 LV:0.5016025641025641 LD:0.35096153846153844
id:52 LV:0.5450819672131147 LD:0.35860655737704916
id:53 LV:0.5319148936170213 LD:0.350354609929078
id:54 LV:0.5112016293279023 LD:0.34419551934826886
id:55 LV:0.5068762278978389 LD:0.3045186640471513
id:56 LV:0.4901098901098901 LD:0.2813186813186813
id:57 LV:0.4654300168634064 LD:0.31871838111298484
id:58 LV:0.5028901734104047 LD:0.3198458574181118
id:59 LV:0.4734848484848485 LD:0.3390151515151515
id:60 LV:0.5328947368421053 LD:0.3881578947368421
id:61 LV:0.5758928571428571 LD:0.3950892857142857
id:62 LV:0.5606694560669456 LD:0.37447698744769875
id:63 LV:0.5229885057471264 LD:0.31992337164750956
id:64 LV:0.5124792013311148 LD:0.33777038269550747
id:65 LV:0.5028142589118199 LD:0.3227016885553471
id:66 LV:0.5871559633027523 LD:0.36009174311926606
id:67 LV:0.5602836879432624 LD:0.39184397163120566
id:68 LV:0.5330490405117271 LD:0.31130063965884863
id:69 LV:0.5396825396825397 LD:0.39087301587301587
