part of corpus:
id:0 LV:0.5442764578833693 LD:0.39092872570194387
id:1 LV:0.5056818181818182 LD:0.3446969696969697
id:2 LV:0.49604743083003955 LD:0.3339920948616601
id:3 LV:0.5797598627787307 LD:0.34476843910806176
id:4 LV:0.5822510822510822 LD:0.3181818181818182
id:5 LV:0.5610328638497653 LD:0.3732394366197183
id:6 LV:0.5820568927789934 LD:0.36980306345733044
id:7 LV:0.5154004106776181 LD:0.324435318275154
id:8 LV:0.579064587973274 LD:0.36971046770601335
id:9 LV:0.5597014925373134 LD:0.3482587064676617
id:10 LV:0.5047846889952153 LD:0.4090909090909091
id:11 LV:0.5619469026548672 LD:0.34513274336283184
id:12 LV:0.5400410677618069 LD:0.33880903490759756
id:13 LV:0.6004901960784313 LD:0.3161764705882353
id:14 LV:0.5567970204841713 LD:0.3947858472998138
id:15 LV:0.6055276381909548 LD:0.3542713567839196
id:16 LV:0.618925831202046 LD:0.37595907928388744
id:17 LV:0.5504385964912281 LD:0.34649122807017546
id:18 LV:0.5303643724696356 LD:0.3259109311740891
id:19 LV:0.5031185031185031 LD:0.34511434511434513
id:20 LV:0.524390243902439 LD:0.39227642276422764
id:21 LV:0.5645161290322581 LD:0.35253456221198154
id:22 LV:0.5195402298850574 LD:0.33793103448275863
id:23 LV:0.5411334552102377 LD:0.340036563071298
id:24 LV:0.5341296928327645 LD:0.33276450511945393
id:25 LV:0.531317494600432 LD:0.30885529157667385
id:26 LV:0.5703703703703704 LD:0.3506172839506173
id:27 LV:0.5524296675191815 LD:0.3248081841432225
id:28 LV:0.4920353982300885 LD:0.35398230088495575
id:29 LV:0.5342019543973942 LD:0.34201954397394135
id:30 LV:0.5504032258064516 LD:0.3528225806451613
id:31 LV:0.5800865800865801 LD:0.37662337662337664
id:32 LV:0.5804066543438078 LD:0.4048059149722736
id:33 LV:0.5269016697588126 LD:0.42115027829313545
id:34 LV:0.536697247706422 LD:0.3302752293577982
id:35 LV:0.4936247723132969 LD:0.3242258652094718
id:36 LV:0.4828150572831424 LD:0.32733224222585927
id:37 LV:0.48514851485148514 LD:0.347949080622348
id:38 LV:0.5146804835924007 LD:0.36614853195164077
id:39 LV:0.5836177474402731 LD:0.39761092150170646
id:40 LV:0.5632411067193676 LD:0.35177865612648224
id:41 LV:0.5191489361702127 LD:0.3404255319148936
id:42 LV:0.569377990430622 LD:0.3229665071770335
id:43 LV:0.491701244813278 LD:0.3278008298755187
id:44 LV:0.5880893300248139 LD:0.3746898263027295
id:45 LV:0.5351473922902494 LD:0.3287981859410431
id:46 LV:0.5662299854439592 LD:0.36681222707423583
id:47 LV:0.5094991364421416 LD:0.3644214162348877
id:48 LV:0.5159010600706714 LD:0.3480565371024735
id:49 LV:0.4936708860759494 LD:0.32489451476793246
id:50 LV:0.5137795275590551 LD:0.3090551181102362
id:51 LV:0.5 LD:0.34887459807073956
id:52 LV:0.5460122699386503 LD:0.37423312883435583
id:53 LV:0.5274261603375527 LD:0.35161744022503516
id:54 LV:0.5142857142857142 LD:0.3469387755102041
id:55 LV:0.5087719298245614 LD:0.31189083820662766
id:56 LV:0.49888641425389757 LD:0.2828507795100223
id:57 LV:0.4702886247877759 LD:0.3225806451612903
id:58 LV:0.504835589941973 LD:0.3191489361702128
id:59 LV:0.49510763209393344 LD:0.3561643835616438
id:60 LV:0.5319148936170213 LD:0.3862520458265139
id:61 LV:0.5736607142857143 LD:0.39955357142857145
id:62 LV:0.5622406639004149 LD:0.3775933609958506
id:63 LV:0.528046421663443 LD:0.31721470019342357
id:64 LV:0.5058626465661642 LD:0.33835845896147404
