part of corpus:
id:0 LV:0.5233050847457628 LD:0.3877118644067797
id:1 LV:0.4877126654064272 LD:0.33081285444234404
id:2 LV:0.49606299212598426 LD:0.33858267716535434
id:3 LV:0.5677083333333334 LD:0.3628472222222222
id:4 LV:0.5818965517241379 LD:0.3254310344827586
id:5 LV:0.5466970387243736 LD:0.3690205011389522
id:6 LV:0.5869565217391305 LD:0.3695652173913043
id:7 LV:0.4959677419354839 LD:0.3225806451612903
id:8 LV:0.578021978021978 LD:0.36923076923076925
id:9 LV:0.5575 LD:0.3625
id:10 LV:0.4987951807228916 LD:0.40481927710843374
id:11 LV:0.5606060606060606 LD:0.341991341991342
id:12 LV:0.5368852459016393 LD:0.3401639344262295
id:13 LV:0.5734597156398105 LD:0.3341232227488152
id:14 LV:0.5266055045871559 LD:0.3926605504587156
id:15 LV:0.6014851485148515 LD:0.3564356435643564
id:16 LV:0.6201550387596899 LD:0.3669250645994832
id:17 LV:0.5417558886509636 LD:0.33832976445396146
id:18 LV:0.5215686274509804 LD:0.3333333333333333
id:19 LV:0.491869918699187 LD:0.3333333333333333
id:20 LV:0.5299806576402321 LD:0.38684719535783363
id:21 LV:0.5600907029478458 LD:0.36281179138321995
id:22 LV:0.5193621867881549 LD:0.3211845102505695
id:23 LV:0.5179856115107914 LD:0.34532374100719426
id:24 LV:0.5278246205733558 LD:0.33220910623946037
id:25 LV:0.5460526315789473 LD:0.30043859649122806
id:26 LV:0.5563549160671463 LD:0.34532374100719426
id:27 LV:0.546875 LD:0.3203125
id:28 LV:0.5044563279857398 LD:0.35650623885918004
id:29 LV:0.5469522240527183 LD:0.3344316309719934
id:30 LV:0.5454545454545454 LD:0.35375494071146246
id:31 LV:0.5915178571428571 LD:0.3705357142857143
id:32 LV:0.585820895522388 LD:0.4085820895522388
id:33 LV:0.4899817850637523 LD:0.4116575591985428
id:34 LV:0.5290178571428571 LD:0.3236607142857143
id:35 LV:0.49444444444444446 LD:0.32407407407407407
id:36 LV:0.48465266558966075 LD:0.32794830371567046
id:37 LV:0.47249647390691113 LD:0.3300423131170663
id:38 LV:0.519327731092437 LD:0.36134453781512604
id:39 LV:0.5566343042071198 LD:0.3883495145631068
id:40 LV:0.5544933078393881 LD:0.33078393881453155
id:41 LV:0.5294117647058824 LD:0.3550420168067227
id:42 LV:0.5754060324825986 LD:0.31786542923433875
id:43 LV:0.5052631578947369 LD:0.32421052631578945
id:44 LV:0.5707317073170731 LD:0.36585365853658536
id:45 LV:0.5414746543778802 LD:0.3433179723502304
id:46 LV:0.5672514619883041 LD:0.37719298245614036
id:47 LV:0.5093378607809848 LD:0.3565365025466893
id:48 LV:0.4965277777777778 LD:0.3350694444444444
id:49 LV:0.4792243767313019 LD:0.3254847645429363
id:50 LV:0.5106382978723404 LD:0.3114119922630561
id:51 LV:0.47310126582278483 LD:0.3370253164556962
